title,xmlUrl,ignore
adamkarvonen,https://adamkarvonen.github.io/feed.xml,
lethain,https://lethain.com/feeds.xml,
importai,https://importai.substack.com/feed.xml,
drew devault,https://drewdevault.com/blog/index.xml,
engineersneedart,https://www.engineersneedart.com/rss.xml,
nymetroweather,https://www.nymetroweather.com/feed/,
samwho,https://samwho.dev/rss.xml,
sander Dieleman,https://sander.ai/feed.xml,
unprovenalgos,https://unprovenalgos.github.io/feed.xml,
erikbern,https://erikbern.com/atom.xml,
romgrk,https://romgrk.com/rss.xml,
boaz,https://windowsontheory.org/feed/,
transferlab,https://transferlab.ai/blog/index.xml,
oranlooney,https://www.oranlooney.com/index.xml,
ninarimsky,https://blog.ninapanickssery.com/feed,
ageofinvention,https://www.ageofinvention.xyz/feed,
vgel,https://vgel.me/feed.xml,
two bit history,https://twobithistory.org/feed,
eieio,https://eieio.games/feed.xml,
Things I Think Are Awesome Lynn Cherny,https://arnicas.substack.com/feed,
matklad,https://matklad.github.io/feed.xml,
answer.ai,https://www.answer.ai/index.xml,
poeticengineering,https://poeticengineering.substack.com/feed,
julienposture,https://julienposture.substack.com/feed,
jackcook,https://jackcook.com/feed.xml,
maxbo.me,https://maxbo.me/atom.xml,
rosiecampbell,https://www.rosiecampbell.xyz/feed,
theneighborhoods,https://theneighborhoods.substack.com/feed,
andymasley,https://blog.andymasley.com/feed,
chinatalk,https://www.chinatalk.media/feed,
alexgaynor,https://alexgaynor.net/feed.xml,
madebyoll,https://madebyoll.in/rss.xml,
argmin,https://www.argmin.net/feed,
Ziming Liu,https://kindxiaoming.github.io/feed.xml,
Amanda Askell,https://www.askell.blog/rss/,
dylan matthews,https://dylanmatthews.substack.com/feed,
Alex Harri,https://alexharri.com/rss.xml,
yangdanny97,http://yangdanny97.github.io/feed.xml,
Sam Altman,http://blog.samaltman.com/posts.atom,
Bartosz Ciechanowski,https://ciechanow.ski/atom.xml,
The Pudding,https://pudding.cool/feed/index.xml,
Chip Huyen,https://huyenchip.com/feed.xml,
Transformer Circuits,https://transformer-circuits.pub/feed.xml,
Xe Iaso,https://xeiaso.net/blog.rss,
fasterthanli.me,https://fasterthanli.me/index.xml,
Streetsblog NYC,https://nyc.streetsblog.org/feed,
Matt Clancy,https://mattsclancy.substack.com/feed,
What If XKCD,https://what-if.xkcd.com/feed.atom,
Stratechery,https://stratechery.com/feed/,
